
t = 134, u = 45, Num Tx = 10000000, Num Errors = 9999701, Num Errors Improved = 0, DFR =  9.999701e-01, DFR Improved = 0.000000e+00  (2026-06-09 12:57:10)
t = 134, u = 45, Num Tx = 10000000, Num Errors = 9999702, Num Errors Improved = 0, DFR =  9.999702e-01, DFR Improved = 0.000000e+00  (2026-06-09 12:57:10)
t = 134, u = 45, Num Tx = 20000000, Num Errors = 19999701, Num Errors Improved = 0, DFR =  9.999850e-01, DFR Improved = 0.000000e+00  (2026-06-09 14:56:35)
t = 134, u = 45, Num Tx = 30000000, Num Errors = 29999701, Num Errors Improved = 0, DFR =  9.999900e-01, DFR Improved = 0.000000e+00  (2026-06-09 17:18:17)
t = 134, u = 45, Num Tx = 40000000, Num Errors = 39999701, Num Errors Improved = 0, DFR =  9.999925e-01, DFR Improved = 0.000000e+00  (2026-06-09 19:39:41)
t = 134, u = 45, Num Tx = 50000000, Num Errors = 49999701, Num Errors Improved = 0, DFR =  9.999940e-01, DFR Improved = 0.000000e+00  (2026-06-09 22:01:17)
t = 134, u = 45, Num Tx = 50000000, Num Errors = 49999702, Num Errors Improved = 0, DFR =  9.999941e-01, DFR Improved = 0.000000e+00  (2026-06-09 22:01:17)
t = 134, u = 45, Num Tx = 60000000, Num Errors = 59999701, Num Errors Improved = 0, DFR =  9.999950e-01, DFR Improved = 0.000000e+00  (2026-06-10 00:23:05)
t = 134, u = 45, Num Tx = 70000000, Num Errors = 69999701, Num Errors Improved = 0, DFR =  9.999958e-01, DFR Improved = 0.000000e+00  (2026-06-10 02:44:08)
t = 134, u = 45, Num Tx = 80000000, Num Errors = 79999701, Num Errors Improved = 0, DFR =  9.999963e-01, DFR Improved = 0.000000e+00  (2026-06-10 05:05:34)
t = 134, u = 45, Num Tx = 80000000, Num Errors = 79999702, Num Errors Improved = 0, DFR =  9.999963e-01, DFR Improved = 0.000000e+00  (2026-06-10 05:05:34)
t = 134, u = 45, Num Tx = 90000000, Num Errors = 89999701, Num Errors Improved = 0, DFR =  9.999967e-01, DFR Improved = 0.000000e+00  (2026-06-10 07:26:52)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999701, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999702, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999703, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999704, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999705, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999706, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999707, Num Errors Improved = 0, DFR =  9.999970e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
