t = 134, u = 45, Num Tx = 10000000, Num Errors = 9999921, Num Errors Improved = 0, DFR =  9.999921e-01, DFR Improved = 0.000000e+00  (2026-06-09 23:42:25)
t = 134, u = 45, Num Tx = 20000000, Num Errors = 19999921, Num Errors Improved = 0, DFR =  9.999960e-01, DFR Improved = 0.000000e+00  (2026-06-10 08:28:31)
t = 134, u = 45, Num Tx = 20000000, Num Errors = 19999922, Num Errors Improved = 0, DFR =  9.999961e-01, DFR Improved = 0.000000e+00  (2026-06-10 08:28:31)
t = 134, u = 45, Num Tx = 30000000, Num Errors = 29999921, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 17:15:02)
t = 134, u = 45, Num Tx = 40000000, Num Errors = 39999921, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-11 02:03:01)
t = 134, u = 45, Num Tx = 50000000, Num Errors = 49999921, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-11 10:48:47)
t = 134, u = 45, Num Tx = 60000000, Num Errors = 59999921, Num Errors Improved = 0, DFR =  9.999987e-01, DFR Improved = 0.000000e+00  (2026-06-11 19:35:37)
t = 134, u = 45, Num Tx = 60000000, Num Errors = 59999922, Num Errors Improved = 0, DFR =  9.999987e-01, DFR Improved = 0.000000e+00  (2026-06-11 19:35:37)
t = 134, u = 45, Num Tx = 70000000, Num Errors = 69999921, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-06-12 04:23:19)
t = 134, u = 45, Num Tx = 80000000, Num Errors = 79999921, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-06-12 13:09:33)
t = 134, u = 45, Num Tx = 90000000, Num Errors = 89999921, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-06-12 21:54:02)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999921, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999922, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999923, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999924, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999925, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999926, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999927, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999928, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999929, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999930, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999931, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999932, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999933, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999934, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999935, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999936, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999937, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999938, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999939, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999940, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999941, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999942, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999943, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999944, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999945, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999946, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999947, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999948, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999949, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999950, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999951, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999952, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999953, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999954, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999955, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999956, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999957, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999958, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999959, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999960, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999961, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999962, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
