
t = 134, u = 45, Num Tx = 10000000, Num Errors = 9999801, Num Errors Improved = 0, DFR =  9.999801e-01, DFR Improved = 0.000000e+00  (2026-07-09 11:42:51)
t = 134, u = 45, Num Tx = 20000000, Num Errors = 19999801, Num Errors Improved = 0, DFR =  9.999900e-01, DFR Improved = 0.000000e+00  (2026-07-09 13:43:10)
t = 134, u = 45, Num Tx = 30000000, Num Errors = 29999801, Num Errors Improved = 0, DFR =  9.999933e-01, DFR Improved = 0.000000e+00  (2026-07-09 15:43:29)
t = 134, u = 45, Num Tx = 30000000, Num Errors = 29999802, Num Errors Improved = 0, DFR =  9.999934e-01, DFR Improved = 0.000000e+00  (2026-07-09 15:43:29)
t = 134, u = 45, Num Tx = 40000000, Num Errors = 39999801, Num Errors Improved = 0, DFR =  9.999950e-01, DFR Improved = 0.000000e+00  (2026-07-09 17:43:48)
t = 134, u = 45, Num Tx = 50000000, Num Errors = 49999801, Num Errors Improved = 0, DFR =  9.999960e-01, DFR Improved = 0.000000e+00  (2026-07-09 19:44:07)
t = 134, u = 45, Num Tx = 50000000, Num Errors = 49999802, Num Errors Improved = 0, DFR =  9.999960e-01, DFR Improved = 0.000000e+00  (2026-07-09 19:44:07)
t = 134, u = 45, Num Tx = 60000000, Num Errors = 59999801, Num Errors Improved = 0, DFR =  9.999967e-01, DFR Improved = 0.000000e+00  (2026-07-09 21:44:26)
t = 134, u = 45, Num Tx = 60000000, Num Errors = 59999802, Num Errors Improved = 0, DFR =  9.999967e-01, DFR Improved = 0.000000e+00  (2026-07-09 21:44:26)
t = 134, u = 45, Num Tx = 60000000, Num Errors = 59999803, Num Errors Improved = 0, DFR =  9.999967e-01, DFR Improved = 0.000000e+00  (2026-07-09 21:44:26)
t = 134, u = 45, Num Tx = 70000000, Num Errors = 69999801, Num Errors Improved = 0, DFR =  9.999971e-01, DFR Improved = 0.000000e+00  (2026-07-09 23:44:45)
t = 134, u = 45, Num Tx = 70000000, Num Errors = 69999802, Num Errors Improved = 0, DFR =  9.999971e-01, DFR Improved = 0.000000e+00  (2026-07-09 23:44:45)
t = 134, u = 45, Num Tx = 80000000, Num Errors = 79999801, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-07-10 01:45:04)
t = 134, u = 45, Num Tx = 90000000, Num Errors = 89999801, Num Errors Improved = 0, DFR =  9.999978e-01, DFR Improved = 0.000000e+00  (2026-07-10 03:45:23)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999801, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999802, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999803, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999804, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999805, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999806, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999807, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999808, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999809, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999810, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999811, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999812, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999813, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999814, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999815, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999816, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
